title,original_lang,popularity,vote_count,vote_average
Lara Croft: Tomb Raider - The Cradle of Life,en,39.28,2886,5.7
23-F: la pel¨ªcula,es,39.175,20,5.9
Solo: A Star Wars Story,en,39.047,5011,6.6
Fight Club,en,38.973,18601,8.4
Bad Boys,en,38.972,3664,6.7
Jurassic Galaxy,en,38.966,50,4.1
The Shining,en,38.846,10449,8.2
Birdman or (The Unexpected Virtue of Ignorance),en,38.841,8979,7.5
The Truman Show,en,38.674,10900,8.1
Tomorrowland,en,38.633,5070,6.2
Pok¨¦mon Detective Pikachu,en,38.544,3478,6.9
The Uncertain Kingdom,en,38.483,0,0
My Neighbor Totoro,ja,38.417,4160,8.1
X-Men: Days of Future Past,en,38.353,11088,7.5
The Terminator,en,38.339,7969,7.5
Inglourious Basterds,en,38.296,14089,8.2
Harry Potter and the Prisoner of Azkaban,en,38.039,13317,8
Zombieland: Double Tap,en,38.03,1887,7
"Monsters, Inc.",en,37.91,12259,7.8
Aladdin,en,37.903,7576,7.6
Toy Story,en,37.791,11922,7.9
Inside Out,en,37.651,14413,7.9
Spider-Man: Into the Spider-Verse,en,37.543,6691,8.4
300: Rise of an Empire,en,37.502,4335,6.1
Brave,en,37.497,9237,7
Richard Jewell,en,37.494,631,7.5
Blade Runner,en,37.412,8699,7.9
Kill Bill: Vol. 1,en,37.388,11145,8
Star Wars: Episode I - The Phantom Menace,en,37.368,9285,6.4
Your Name.,ja,37.202,5190,8.5
Dracula Untold,en,37.17,4142,6.3
Maleficent,en,37.094,9514,7.1
Wild Card,en,37.031,1080,5.5
The Perfect Date,en,36.867,2044,6.3
GoodFellas,en,36.847,6956,8.4
Harry Potter and the Deathly Hallows: Part 1,en,36.846,12315,7.8
Percy Jackson & the Olympians: The Lightning Thief,en,36.796,4937,6.1
The Lord of the Rings: The Two Towers,en,36.598,14124,8.3
The Princess Diaries,en,36.581,2986,6.8
The Invisible Guest,es,36.578,2202,8.2
Forrest Gump,en,36.52,17282,8.4
Black and Blue,en,36.429,238,6.4
Bad Boys II,en,36.404,3212,6.5
Men in Black II,en,36.338,6640,6.3
Shrek,en,36.229,10126,7.6
The Great Mouse Detective,en,35.898,938,7.1
30 Days of Night: Dark Days,en,35.693,257,4.8
The Imitation Game,en,35.645,11698,8.1
Desire,fr,35.632,215,4.7
Nater Guru,en,35.436,1,6
The Martian,en,35.407,13669,7.7
Rampage,en,35.372,3979,6.3
World War Z,en,35.354,10288,6.7
Shrek 2,en,35.349,7271,7
American Beauty,en,35.254,7633,8
The Matrix Reloaded,en,35.181,6580,6.9
The Matrix Revolutions,en,35.168,5898,6.6
Beauty and the Beast,en,35.093,6594,7.7
Gnomeo & Juliet,en,35.085,1263,5.8
Mad Max: Fury Road,en,35.019,15941,7.5
Braveheart,en,34.948,6287,7.9
Outbreak,en,34.91,1147,6.5
The Mask,en,34.76,6244,6.8
The Hobbit: An Unexpected Journey,en,34.73,13204,7.2
Event Horizon,en,34.703,1429,6.5
Arjona Circo Soledad en Vivo,es,34.624,0,0
Pirates of the Caribbean: At World's End,en,34.597,9429,7.2
Sekaiichi Hatsukoi: Propose-hen,ja,34.55,0,0
Men in Black: International,en,34.545,2271,5.9
